                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9599,                 2.8321,                 2.0077,                0.01233,                 0.7551,                 0.0249,                0.00697,                 2.3373,                 3.1444,                 2.3993,                0.00044,                0.00044,                0.00044
                      2,                 1.6605,                 2.4051,                 1.7991,                0.07145,                0.22449,                0.11243,                0.03397,                 2.6724,                 3.0112,                 2.8039,             0.00088218,             0.00088218,             0.00088218
                      3,                 1.7064,                 2.1774,                 1.8704,                0.05683,                0.08163,                0.03505,                0.00957,                 2.8432,                 3.0155,                 3.1299,              0.0013061,              0.0013061,              0.0013061
                      4,                 1.6756,                 2.0774,                  1.822,                0.24676,                0.12245,                0.11636,                0.03271,                 2.4879,                 2.9873,                 2.8264,              0.0017119,              0.0017119,              0.0017119
                      5,                  1.625,                 1.9994,                 1.7755,                0.38745,                0.34694,                0.32347,                0.11059,                 2.2335,                 2.3069,                 2.4016,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.6203,                 1.9352,                 1.7544,                0.36576,                0.32653,                0.28859,                0.09543,                 2.3759,                 2.6341,                 2.5929,               0.001802,               0.001802,               0.001802
                      7,                 1.6379,                 1.9375,                 1.7674,                0.10849,                0.08163,                0.04424,                0.00855,                 3.1348,                 6.8652,                 2.9839,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5939,                 1.9286,                 1.7394,                0.30554,                0.35019,                0.24709,                0.07645,                 2.4968,                 2.9457,                 2.5619,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5865,                 1.8817,                 1.7437,                0.41175,                0.27551,                0.26643,                0.08291,                 2.4271,                 2.4429,                 2.4537,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.5687,                 1.8906,                 1.7374,                0.48861,                0.33673,                0.35196,                0.11277,                 2.3299,                 2.2044,                 2.4252,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5567,                 1.8492,                 1.7207,                0.39447,                    0.5,                0.38545,                0.13114,                 2.2248,                 2.1177,                 2.2744,               0.001604,               0.001604,               0.001604
                     12,                 1.4977,                  1.753,                 1.6721,                0.49367,                0.39796,                0.40058,                0.14507,                 2.2295,                 2.1825,                 2.3371,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5137,                 1.7499,                 1.6938,                0.42127,                 0.4898,                 0.3523,                0.12621,                 2.1846,                 2.1071,                 2.3112,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4692,                 1.7201,                  1.643,                0.52262,                 0.4357,                0.42344,                0.15077,                 2.1697,                 2.0387,                 2.3104,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4626,                 1.6851,                 1.6317,                0.40996,                0.43878,                0.34421,                0.12158,                 2.2581,                  2.077,                 2.2538,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4411,                 1.6898,                  1.639,                0.48372,                0.43878,                0.40871,                 0.1296,                 2.2659,                 2.0358,                 2.2776,               0.001406,               0.001406,               0.001406
                     17,                 1.4431,                 1.6393,                 1.6223,                 0.4594,                0.42492,                0.34423,                0.11282,                  2.227,                 2.1698,                 2.2059,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4448,                 1.6402,                 1.6092,                0.50227,                    0.5,                0.42112,                0.17426,                 2.1239,                 1.9191,                 2.0943,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3948,                 1.5981,                 1.5691,                0.42756,                0.48015,                0.41434,                0.14908,                 2.1622,                  1.923,                 2.1495,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.419,                 1.5714,                 1.5943,                0.40236,                0.44898,                0.37989,                0.12269,                 2.2958,                 2.0583,                 2.1703,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3878,                 1.5575,                  1.589,                0.47556,                0.47959,                0.49549,                0.19983,                 2.0479,                 1.7654,                 2.0392,               0.001208,               0.001208,               0.001208
                     22,                 1.3648,                 1.5059,                 1.5713,                0.52427,                0.49482,                0.49234,                 0.1901,                 2.0589,                 1.8095,                 2.0954,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4006,                 1.5328,                 1.5822,                0.54267,                0.42857,                0.39902,                0.15966,                 2.1032,                 2.1071,                 2.1556,              0.0011288,              0.0011288,              0.0011288
                     24,                  1.398,                  1.541,                 1.5772,                0.45739,                0.42857,                0.42961,                0.17011,                 2.0439,                 1.9119,                 2.0467,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3689,                 1.4953,                 1.5924,                0.40238,                 0.4898,                0.41002,                0.14985,                 2.1767,                 2.0663,                 2.1845,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3532,                 1.4762,                 1.5693,                0.49899,                0.40816,                0.44538,                0.16949,                  2.045,                 1.9471,                 2.0724,                0.00101,                0.00101,                0.00101
                     27,                 1.3657,                 1.4524,                 1.5543,                0.53385,                0.40816,                0.44747,                0.16871,                 2.0381,                 1.9597,                 2.0731,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.3233,                 1.4451,                  1.536,                0.59468,                0.41837,                0.49366,                0.17625,                 2.1531,                 1.8332,                  2.133,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.3396,                 1.4245,                 1.5469,                0.43387,                0.54082,                0.49505,                0.19468,                 2.1059,                 1.7913,                 2.1446,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.3129,                 1.4248,                 1.5304,                0.68892,                0.39796,                0.47643,                0.15846,                 2.1542,                 1.9276,                  2.216,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.3211,                 1.4145,                 1.5316,                0.64477,                 0.4898,                0.53935,                0.19264,                 2.1202,                 1.8278,                 2.1364,               0.000812,               0.000812,               0.000812
                     32,                 1.2667,                 1.3357,                 1.4933,                0.54653,                0.52041,                0.52881,                0.19236,                 2.1549,                 1.8032,                 2.1183,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.2929,                 1.3614,                 1.5166,                0.49215,                0.43878,                0.44881,                0.14462,                  2.352,                 1.9229,                 2.3002,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.2946,                 1.3415,                  1.518,                 0.5708,                 0.5102,                0.51755,                0.20169,                 2.1154,                 1.8086,                 2.1439,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2808,                 1.3042,                 1.4925,                0.57854,                0.53061,                0.54898,                0.21401,                 2.0432,                 1.6903,                 2.0943,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2413,                 1.2711,                 1.4712,                0.63581,                0.53061,                0.58279,                0.22627,                 2.0184,                 1.6958,                 2.0392,               0.000614,               0.000614,               0.000614
                     37,                 1.2961,                 1.2833,                 1.4933,                0.61298,                0.41837,                0.44136,                0.13713,                 2.2031,                 1.9073,                 2.1709,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2409,                 1.2622,                 1.4553,                0.71452,                0.44898,                0.56719,                0.21407,                 2.0641,                 1.7014,                 2.0968,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.227,                 1.2395,                 1.4472,                0.73516,                 0.4898,                0.56633,                0.20736,                 2.0592,                 1.8031,                  2.066,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2452,                  1.249,                 1.4649,                0.63711,                0.41837,                0.46379,                0.16719,                 2.2469,                 1.8259,                 2.1955,              0.0004556,              0.0004556,              0.0004556
